	18
limited	4
brevet	2
pardon	1
eleanor	1
dissolution	1
1866	1
four	8
gag	1
protest	1
woods	1
sleep	1
controversial	2
hanging	1
mansion	2
captain	3
integrity	2
assembled	3
aggression	3
carolinas	1
ethics	1
whose	1
votes	15
voter	1
bonnets	1
pointing	1
granting	2
marcos	1
paris	2
insurgencies	1
pensions	1
charles	1
prosperitybasically	1
virginiaas	1
voted	3
negroesthe	1
under	15
lord	1
pride	1
placed	1
partys	2
questions	1
electionbush	1
stanton	1
risk	1
wracked	1
commerce	4
compassion	1
rise	3
slaveholder	1
homes	1
reorganize	1
nomineeby	1
every	4
jack	1
pretended	1
confederate	5
profrench	1
advocating	2
bringing	1
vast	2
spanishamerican	1
grandeto	1
school	10
dominate	1
prize	2
ceased	1
cargoes	1
pinch	1
solution	1
herbert	2
arrayed	1
unrelated	1
namejames	1
wavered	1
297	1
harriet	1
100day	1
fairfax	1
commented	2
triumph	4
whirlwind	1
enjoy	1
charter	1
expanded	2
force	5
leaders	7
welltodo	1
construed	1
fit	3
excelled	3
direct	3
ation	1
preacher	1
surrounding	1
second	13
street	2
summer	1
kentucky	3
believing	2
compliance	1
vainthat	1
friendships	1
planters	1
machines	1
relationsin	1
even	13
established	8
followedin	1
exhaustedin	1
principlesborn	1
dandridge	1
solemn	1
tirelessly	1
selected	2
contributed	2
4	5
asia	1
spokesman	1
siege	1
deficits	1
reconstruction	6
relying	1
new	30
intermediaterange	1
ever	6
reviving	1
told	4
dispatched	1
hero	3
itthus	1
selfconfidence	1
territoryand	1
men	8
here	2
atoms	1
met	7
carolinahayes	1
protection	2
china	6
germanymassive	1
active	2
aftermath	1
100	1
peacethe	1
dred	1
obtained	6
1782	1
southerners	7
daughter	2
shipping	1
sectors	1
hamiltonians	1
pretensions	1
employees	1
economics	1
envoy	2
laterone	1
controversy	2
credit	2
harass	1
dismayed	3
stressed	1
military	14
anarchist	1
saidin	1
transforming	1
bloomer	1
secure	1
campaign	13
servicemen	1
julie	1
explained	1
reagan	2
charred	1
feelings	1
county	6
regulatory	1
moral	1
amherst	1
welch	1
accidency	1
counts	1
elaborate	1
opponents	4
debatesmadison	1
criminals	1
spoke	1
would	25
army	9
hospital	1
booksunexpectedly	1
arms	2
foods	1
insult	1
secessionist	1
cents	1
yorkhe	1
nonmilitary	1
call	1
calm	2
constitutions	1
strike	1
robertson	1
1785	1
until	10
wedeclared	1
supporters	1
evening	1
purchasehis	1
piercea	1
legs	1
reign	1
aware	4
dogma	1
berlin	5
warm	1
recharter	1
gentlemans	1
robin	1
adjourn	1
90	1
appalled	1
tariff	7
europeinstead	1
overrun	1
must	9
me	3
northbuchanan	1
1992	2
join	4
room	1
warboss	1
rights	9
1998	1
youask	1
work	7
refusing	2
worn	1
carters	1
governmentpresident	1
grover	1
era	5
install	1
henry	8
intimated	1
metruman	1
my	7
could	17
1876	2
shook	1
defer	1
columbiaeach	1
indicated	1
give	2
21point	1
preserving	1
organized	1
lure	1
ready	2
deliveredclevelands	1
zthe	1
want	3
drive	1
routed	1
advancing	1
gross	1
yeartaft	1
admission	2
end	17
devotion	1
initiate	1
provide	2
catspaw	1
returning	2
damage	1
machine	2
decrying	1
hot	1
allied	2
wartorn	2
accusations	1
1758	1
1754	1
officeholding	1
dignified	3
rulespresident	1
badly	3
partyas	1
minority	3
haven	1
albany	1
ambassadors	1
ladder	1
after	22
1816	2
customs	2
recordwithin	1
lay	3
misused	1
president	38
law	22
parallel	1
soilers	1
stronghold	1
purchase	1
nagasaki	1
attempt	1
relationsadams	1
effective	8
occasions	1
amid	1
romped	1
heal	1
headquarters	1
fever	1
backwoods	1
lou	1
maintain	3
precepts	1
orleansin	1
parish	1
floridas	3
democratic	20
order	3
operations	1
restriction	1
cession	1
presidentfirst	1
careerswhen	1
office	22
enter	1
numbers	1
defenders	1
over	19
reforms	1
gettysburg	2
london	2
innovative	1
responsive	1
japan	2
reformers	1
rebellion	2
mayor	1
zachariah	1
before	17
admirably	1
serviceclinton	1
destroyer	1
personal	4
edith	2
expectations	1
denver	1
writing	2
survivors	1
rescued	1
production	1
encounter	1
enlisted	1
stalemate	1
weeks	6
easier	1
usurping	1
then	15
them	14
housecleveland	1
combination	1
mustered	2
prevented	1
millionman	1
safe	1
finish	1
goodnot	1
break	2
emigrated	1
rift	2
owned	1
they	21
universitysan	1
schools	4
ruleofthumb	1
colonies	1
bank	5
grueling	1
bolted	2
volunteerism	1
readys	1
netherlands	1
185mile	1
bowdoin	1
bosnia	1
convictions	1
classified	1
slavery	9
victories	5
newport	1
victory	5
each	4
commissioners	1
went	12
side	3
victors	1
prohibit	1
signing	2
financial	3
directly	1
woes	1
whig	7
1924learn	1
principles	2
applicable	1
carry	3
taught	2
doud	1
hanged	1
navy	8
ameliorate	1
presidentfaced	1
collector	1
headon	1
himclay	1
1852within	1
network	1
driving	1
doubledigit	1
god	1
senatorconkling	1
crucial	2
forty	1
pailhis	1
saddam	3
laid	1
daniel	3
millennium	1
sturdiness	1
assignment	1
got	2
newly	1
engineer	1
venezuela	1
cerebral	1
independence	4
delegate	2
stately	1
arizona	1
turning	2
predecessorborn	1
resume	1
veto	3
termswhen	1
eternal	1
little	9
free	11
friendsin	1
campaigns	1
appointments	4
disputes	1
241	1
struggle	6
colony	1
mastering	1
seceded	2
nonintercourse	1
inadequately	1
wanted	2
photography	1
deciding	1
truceas	1
aisle	1
enormous	1
created	4
1949in	1
longterm	1
days	10
steward	1
bears	3
disturbed	2
oppose	2
100000	1
marcus	1
arrived	1
repealed	1
edward	1
already	5
illtrained	1
necessity	2
dukakis	1
jeffersons	1
railroads	1
encouraging	1
rank	2
bouvier	1
groundbreaking	1
plurality	1
rationing	1
another	3
administrationborn	1
feeding	1
methodical	1
service	10
independenceduring	1
letting	1
top	1
hawks	1
neutralizing	1
balloted	1
interlude	1
needed	4
faithbased	1
compromise	7
too	4
tom	1
tragic	1
hollywood	1
john	19
bitter	4
lunatics	1
consented	1
urban	1
collapse	1
enhancing	1
endstaft	1
centered	1
bounty	2
serve	2
took	15
rejected	3
nullificationin	1
presidentelect	1
western	6
helen	1
kept	7
requisite	1
kennedys	1
maintaining	3
slaverydouglass	1
guild	1
policymaking	2
showed	1
princeton	3
nominate	1
1978	2
enabled	2
likely	2
nations	18
matter	1
exclaimed	2
endure	1
deserving	1
budget	5
evaporated	1
powers	4
acquisition	1
namehe	1
fashion	3
unrest	1
hundred	2
decontrolling	1
ran	5
boston	2
republicanism	1
modern	2
bolshevism	1
mine	1
1972	2
raw	1
seed	1
manner	1
emphasizing	2
further	5
impelled	1
seen	4
regulate	3
triumphed	1
poliomyelitis	1
20000000	1
expeditions	1
affairs	6
abroad	1
strength	4
1968	3
1969	2
laden	1
1964	2
thoroughly	2
1966	1
cope	1
1960	2
1961	2
1962	2
cubabut	1
match	1
upholding	1
recommended	1
subjects	1
niece	1
forces	12
neither	2
rider	1
middleclass	1
reelection	7
shall	5
